#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
             133   4.87069664e+01   9.71439734e-01  -1.48846848e-02   5.68444977e-03   2.14776436e+03   2.70876446e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             135   4.87069664e+01   1.00753852e+00  -1.97987922e-03   7.81919039e-03   2.21859850e+03   4.03655239e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             139   4.87069664e+01   9.74568616e-01  -1.34992689e-02   1.12463665e-02   1.16906393e+03   7.86887672e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             141   4.87069664e+01   9.92048355e-01  -7.77037569e-05  -9.58647003e-03   5.77397354e+03   2.75633197e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             143   4.87069664e+01   1.07830459e+00   8.75681516e-03   1.18827586e-02   4.64685500e+03   2.02546802e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             144   4.87069664e+01   1.00423567e+00  -7.91474199e-03   3.82184455e-03   5.47658536e+03   4.25069719e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             145   4.87069664e+01   1.02970724e+00  -1.46849609e-02  -1.17206857e-02   1.99939248e+03   1.36395780e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             146   4.87069664e+01   9.93527907e-01  -7.55709120e-03   7.55145690e-03   1.10165916e+03   1.75562340e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             147   4.87069664e+01   1.06123648e+00   2.14560513e-02   1.95002337e-02   4.91964172e+03   1.02672882e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             148   4.87069664e+01   9.81850656e-01   8.71345109e-03  -2.40078357e-02   2.79878184e+03   2.61140203e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             149   4.87069664e+01   1.01823359e+00  -3.27082333e-03  -6.53324422e-04   3.76184048e+03   2.15886197e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             150   4.87069664e+01   9.89190946e-01  -3.91119934e-05  -1.15666644e-02   5.78174640e+03   2.78922810e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             151   4.87069664e+01   1.04726746e+00  -2.71926610e-03   1.03298645e-02   4.48282208e+03   1.37537370e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             153   4.87069664e+01   1.04359361e+00   2.90154236e-02   1.85913864e-02   5.14743737e+03   6.16143151e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             154   4.87069664e+01   1.01517812e+00  -1.70573359e-02   7.09073197e-04   1.02123237e+03   4.25876158e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             156   4.87069664e+01   1.03986351e+00   1.31957419e-02  -1.41410570e-02   4.76409621e+03   4.45370612e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             157   4.87069664e+01   9.61332301e-01   3.66119027e-03  -9.51308903e-03   2.68674510e+03   4.97612922e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             158   4.87069664e+01   1.01959991e+00  -3.08769958e-03  -4.70296417e-03   3.18870668e+03   3.98133303e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             159   4.87069664e+01   9.68681406e-01  -1.15342758e-02   5.21702129e-04   1.41137523e+03   2.46711796e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             160   4.87069664e+01   9.96894934e-01  -1.72118746e-02   2.03437672e-05   1.12801853e+02   1.01705457e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             161   4.87069664e+01   9.68735689e-01  -5.35717757e-03   1.26646329e-02   1.91524812e+03   2.16316210e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             163   4.87069664e+01   1.00348657e+00   2.66407196e-04  -7.95186869e-04   3.29719364e+03   2.25613991e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             164   4.87069664e+01   1.02406148e+00  -3.57621684e-03  -9.55126698e-03   5.26130674e+03   3.46935629e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             167   4.87069664e+01   9.38989800e-01  -1.42265973e-02   9.59544724e-03   1.19440687e+03   8.27738931e+00   7.00000000e+14   4.00000000e+00   2.50000000e-01
             169   4.87069664e+01   1.01436621e+00  -7.02443911e-03   1.72732298e-03   5.59116014e+03   4.35611739e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             170   4.87069664e+01   1.01538485e+00   5.85138758e-03  -4.98633877e-03   2.87221127e+03   2.22641965e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             171   4.87069664e+01   9.72710715e-01  -4.79019728e-03   1.26181852e-03   7.56558319e+01   2.99708425e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             172   4.87069664e+01   1.03282205e+00  -1.15079352e-02  -8.71794969e-03   3.78807296e+03   1.91534189e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             173   4.87069664e+01   1.01822466e+00   4.01870868e-03  -5.92478982e-03   3.70328991e+03   1.21232397e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             174   4.87069664e+01   1.02741755e+00   3.12227729e-05   5.13112965e-03   4.18398302e+03   3.41276033e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             176   4.87069664e+01   9.98178127e-01  -4.83949604e-03   6.15966375e-03   2.17030109e+03   3.98977358e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             178   4.87069664e+01   1.01330130e+00  -1.22243149e-02  -7.38161170e-03   2.70931025e+02   4.32642517e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             181   4.87069664e+01   1.02442788e+00  -4.81058660e-04   4.14487368e-03   5.09843311e+03   1.87269413e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             183   4.87069664e+01   9.99518348e-01   1.16314964e-02  -2.16425030e-02   2.92310794e+03   2.71847882e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             185   4.87069664e+01   1.01033697e+00  -2.75770759e-03  -4.92842488e-03   3.22580079e+03   1.12215897e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             187   4.87069664e+01   1.03328864e+00  -9.08787197e-03   7.51699095e-03   2.43422900e+03   3.48589187e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             188   4.87069664e+01   1.01155920e+00  -3.49742904e-03  -1.25925723e-03   3.43581701e+03   2.10111548e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             189   4.87069664e+01   9.86744783e-01   5.48516979e-04  -2.91489867e-03   1.06534938e+03   2.50191398e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             191   4.87069664e+01   9.88980470e-01   1.23387901e-02  -3.48481114e-03   4.09394529e+03   3.76637466e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             192   4.87069664e+01   1.01637275e+00  -1.26358659e-02   4.70734715e-03   8.86716648e+02   4.42765688e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             196   4.87069664e+01   9.99258683e-01  -2.40638134e-03  -6.43347759e-03   6.44190950e+03   3.17529589e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             201   4.87069664e+01   1.02406044e+00  -2.59187100e-03  -1.20644545e-02   4.07880244e+03   1.31516958e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             202   4.87069664e+01   9.70540091e-01  -8.78661555e-03   8.46260163e-03   1.60762666e+03   8.52416680e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             204   4.87069664e+01   1.03449333e+00  -9.50566636e-03   3.36171378e-03   3.37781591e+03   2.94736448e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             206   4.87069664e+01   9.79334909e-01  -1.32991282e-02  -6.02042017e-03   6.58343394e+02   1.74124206e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             207   4.87069664e+01   1.01041488e+00  -6.48872905e-03  -5.48866625e-03   5.28669740e+03   1.79113969e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             210   4.87069664e+01   1.00385746e+00  -1.55147303e-02   5.69891783e-03   5.38079796e+03   4.46754296e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             211   4.87069664e+01   1.01900863e+00  -1.37416597e-02  -1.01078469e-03   6.38770191e+03   1.37206500e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             212   4.87069664e+01   9.86078497e-01  -5.56157489e-03   9.14595667e-03   2.00217644e+03   2.01190553e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             213   4.87069664e+01   9.72690440e-01  -1.12829232e-02   2.68858759e-03   3.37314109e+02   1.85717507e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
             214   4.87069664e+01   1.01155034e+00  -3.41988667e-03   7.10965483e-03   3.19203107e+03   3.49772993e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             216   4.87069664e+01   1.01589553e+00  -7.37337693e-03  -1.13520365e-03   3.02606081e+03   2.04994140e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             217   4.87069664e+01   1.01438804e+00  -4.14081029e-03  -4.70088244e-03   3.13390371e+03   3.99192312e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             221   4.87069664e+01   9.76577071e-01   1.45465560e-03  -4.88628580e-03   6.42396728e+03   8.05474360e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             222   4.87069664e+01   1.01517072e+00  -1.08552673e-02   7.79948820e-03   5.20675332e+03   4.40755268e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             223   4.87069664e+01   1.04739438e+00   8.42720216e-03   1.29148139e-02   3.99023341e+03   2.59797054e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             225   4.87069664e+01   9.96921745e-01   2.57422580e-03  -5.13996938e-03   6.41126070e+03   4.25920972e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             227   4.87069664e+01   1.04545746e+00   1.01991187e-02  -1.05356477e-02   4.36163177e+03   3.31123657e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             229   4.87069664e+01   1.02785081e+00   3.03783114e-03  -9.08361714e-04   3.63925415e+03   3.93244687e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             230   4.87069664e+01   1.01564512e+00  -4.95930621e-03  -3.09618888e-03   2.97834321e+03   2.08224269e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             231   4.87069664e+01   1.00522082e+00   2.44196982e-02  -2.20009915e-03   2.01085247e+03   3.58615146e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             237   4.87069664e+01   9.71473349e-01  -7.74736667e-03   6.93302888e-04   1.26432210e+03   2.11089955e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             238   4.87069664e+01   9.54904650e-01  -1.00159034e-03   1.26977119e-02   6.26261593e+03   4.42414859e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             239   4.87069664e+01   1.03111749e+00   1.98789985e-03   1.11187865e-02   3.81657867e+03   2.41634973e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             241   4.87069664e+01   9.64260231e-01  -3.29586751e-03   1.43509965e-02   1.42439164e+03   6.15092129e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             243   4.87069664e+01   1.01186481e+00  -1.58171695e-02  -1.59408067e-02   2.69198936e+01   4.02052982e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             244   4.87069664e+01   9.72395834e-01  -9.43201538e-03   2.14179088e-04   1.39097371e+03   2.56892779e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             245   4.87069664e+01   1.01233385e+00   5.47416616e-03  -5.56085497e-03   3.63989344e+03   1.09155784e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             246   4.87069664e+01   1.00415087e+00  -1.21050071e-02  -4.84087571e-03   2.95303436e+03   1.63150005e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             247   4.87069664e+01   1.01890406e+00   1.78399193e-05  -5.97164584e-03   5.31135100e+03   3.20419001e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
